,lastLowPrice,low24hPrice,avg24hPrice,prapor,praporCurrency,therapist,therapistCurrency,fence,fenceCurrency,skier,skierCurrency,peacekeeper,peacekeeperCurrency,mechanic,mechanicCurrency,ragman,ragmanCurrency,jaeger,jaegerCurrency
"NPZ PK1 ""Obzor"" reflex sight",15555.0,,10007.0,7630.0,RUB,,,,,,,,,,,,,,
7.62x54mm R SNB gzh,,,,1092.0,RUB,,,,,,,,,,,,,,
9x19mm Pst gzh,,,,71.0,RUB,,,,,,,112.0,RUB,70.0,RUB,,,,
PM 9x18PM 90-93 8-round magazine,3000.0,,,1025.0,RUB,,,,,,,,,,,,,,
NPZ 1P78-1 dovetail mount,30000.0,,24235.0,2180.0,RUB,,,,,,,,,,,,,,
9x39mm SP-6 gs,,,,973.0,RUB,,,,,,,,,,,,,,
NPZ 1P78-1 2.8x scope,12300.0,,15489.0,22345.0,RUB,,,,,,,,,,,,,,
NPZ 1P78 scope eyecup,18888.0,,14959.0,3052.0,RUB,,,,,,,,,,,,,,
9x18mm PM P gzh,,,,14.0,RUB,,,,,,,,,,,,,,
AKS-74U dust cover (6P26 Sb.7),13000.0,,19345.0,1306.0,RUB,,,,,,,,,,,,,,
AK-74 5.45x39 muzzle brake-compensator (6P20 0-20),756.0,,,757.0,RUB,,,,,,,,,,,,,,
7.62x25mm TT AKBS,,,,54.0,RUB,,,,,,,,,,,,,,
9x18mm PM PRS gs,,,,43.0,RUB,,,,,,,,,,,,,,
SV-98 7.62x54R 10-round magazine,4250.0,,9112.0,4251.0,RUB,,,,,,,,,,,,,,
TT 7.62x25 tt-105 8-round magazine,6000.0,,,1262.0,RUB,,,,,,,,,,,,,,
PB 9x18PM silenced pistol,,,,21467.0,RUB,,,,,,,,,,,,,,
5.45x39mm BT gs,,,,694.0,RUB,,,,,,,,,,,,,,
Kalashnikov AK-74N 5.45x39 assault rifle,,,,35859.0,RUB,,,,,,,,,,,,,,
AK-74 polymer handguard (6P20 Sb.9),6000.0,,6000.0,1114.0,RUB,,,,,,,,,,,,,,
7.62x25mm TT P gl,,,,57.0,RUB,,,,,,,,,,,,,,
AK-74 dust cover (6P20 0-1),850.0,,,1136.0,RUB,,,,,,,,,,,,,,
9x18mm PM Pst gzh,,,,50.0,RUB,,,,,,,,,,,,,,
AK-74 rear sight (6P20 Sb.2),542.0,,,544.0,RUB,,,,,,,,,,,,,,
VSS wooden stock,28000.0,,13461.0,1947.0,RUB,,,,,,,,,,,,,,
TT-33 7.62x25 TT pistol,,,,8194.0,RUB,,,,,,,,,,,,,,
5.45x39mm PS gs,,,,109.0,RUB,,,,,,,,,,,,,,
7.62x39mm PS gzh,,,,145.0,RUB,,,,,,,,,,,,,,
Makarov PM 9x18PM pistol,,,,6581.0,RUB,,,,,,,,,,,,,,
9x18mm PMM PstM gzh,,,,151.0,RUB,,,,,,,,,,,,,,
TT 7.62x25 makeshift sound suppressor,8999.0,,11137.0,16246.0,RUB,,,,,17140.0,RUB,,,,,,,,
9x18mm PM PBM gzh,,,,121.0,RUB,,,,,,,,,,,,,,
AK-74 5.45x39 6L26 45-round magazine,10000.0,,18667.0,4104.0,RUB,,,,,,,,,,,,,,
AK bakelite pistol grip (6P4 Sb.9),800.0,,803.0,806.0,RUB,,,,,,,,,,,,,,
9x19mm PSO gzh,,,,54.0,RUB,,,,,,,112.0,RUB,,,,,52.0,RUB
RGD-5 hand grenade,,,,11822.0,RUB,,,,,,,,,,,,,,
AK-74 5.45x39 6L23 30-round magazine,3000.0,,5637.0,2179.0,RUB,,,,,,,,,,,,,,
AK polymer pistol grip (6P1 Sb.8),860.0,,,861.0,RUB,,,,,,,,,,,,,,
MS2000 Marker,,,,15177.0,RUB,,,,,,,,,,,,,,
Simonov SKS 7.62x39 carbine,,,,21810.0,RUB,,,,,,,,,,,,,,
9x18mm PM PSO gzh,,,,24.0,RUB,,,,,,,,,,,,,,
Axion Kobra EKP-8-18 reflex sight,14700.0,,19442.0,15260.0,RUB,,,,,,,,,,,,,14700.0,RUB
"PP-91 ""Kedr"" 9x18PM 30-round magazine",11111.0,,11058.0,3136.0,RUB,,,,,,,,,,,,,,
5.45x39mm PRS gs,,,,46.0,RUB,,,,,,,,,,,,,,
AK-74 5.45x39 6L31 60-round magazine,34333.0,,34434.0,38938.0,RUB,,,,,,,,,,,,,,
7.62x25mm TT Pst gzh,,,,77.0,RUB,,,,,,,,,,,,,,
9x18mm PM PPe gzh,,,,56.0,RUB,,,,,,,,,,,,,,
AKS-74U PBS-4 5.45x39 sound suppressor,18000.0,,28183.0,35961.0,RUB,,,,,,,,,,,,,,
SV-98 7.62x54R bolt-action sniper rifle,,,,50090.0,RUB,,,,,,,,,,,,,78973.0,RUB
9x18mm PM RG028 gzh,,,,86.0,RUB,,,,,,,,,,,,,,
AK-74 wooden handguard (6P20 Sb.6),4000.0,,5000.0,874.0,RUB,,,,,,,,,,,,,,
AK-74 wooden stock (6P20 Sb.5),22222.0,,16666.0,2014.0,RUB,,,,,,,,,,,,,,
"MP-443 ""Grach"" 9x19 18-round magazine",2000.0,,4721.0,1674.0,RUB,,,,,,,,,,,,,,
7.62x25mm TT FMJ43,,,,55.0,RUB,,,,,,,,,,,,,,
AK-74 TGP-A 5.45x39 sound suppressor,37000.0,,42458.0,45660.0,RUB,,,,,,,,,,,,,,
9x39mm SP-5 gs,,,,236.0,RUB,,,,,,,,,,,,,,
Kalashnikov AKS-74UN 5.45x39 assault rifle,,,,35475.0,RUB,,,,,,,,,,,,,,
"PP-91 ""Kedr"" 9x18PM submachine gun",,,,21349.0,RUB,,,,,,,,,,,,,,
AKS-74U 5.45x39 muzzle brake (6P26 0-20),2500.0,,2500.0,784.0,RUB,,,,,,,,,,,,,,
VSS 9x39 6L25 20-round magazine,19500.0,,23633.0,8828.0,RUB,,,,,,,,,,,,,,
5.45x39mm BP gs,,,,443.0,RUB,,,,,,,,,,,,,,
VSS 9x39 integral barrel-suppressor,24500.0,,31560.0,24533.0,RUB,,,,,,,,,,,,,,
AS VAL 9x39 integral barrel-suppressor,100000.0,,100000.0,25448.0,RUB,,,,,,,,,,,,,,
"PP-19-01 ""Vityaz"" pistol grip",25000.0,,,980.0,RUB,,,,,,,,,,,,,,
9x18mm PM PPT gzh,,,,47.0,RUB,,,,,,,,,,,,,,
9x18mm PM BZhT gzh,,,,71.0,RUB,,,,,,,,,,,,,,
AKS-74U metal skeleton stock (6P26 Sb.5),10000.0,,,1683.0,RUB,,,,,,,,,,,,,,
BelOMO PSO-1M2-1 4x24 scope,20000.0,,19427.0,21565.0,RUB,,,,,,,,,,,,,,
"Yarygin MP-443 ""Grach"" 9x19 pistol",,,,13816.0,RUB,,,,,,,,,,,,,,
9x18mm PM SP8 gzh,,,,69.0,RUB,,,,,,,,,,,,,,
Kalashnikov AKS-74UB 5.45x39 assault rifle,,,,70827.0,RUB,,,,,,,,,,,,,,
5.45x39mm US gs,,,,87.0,RUB,,,,,,,,,,,,,,
5.45x39mm T gs,,,,44.0,RUB,,,,,,,,,,,,,,
"PP-91 ""Kedr"" 9x18PM 20-round magazine",1600.0,,8888.0,1638.0,RUB,,,,,,,,,,,,,,
9x18mm PM SP7 gzh,,,,165.0,RUB,,,,,,,,,,,,,,
AS VAL skeleton stock,10000.0,,11272.0,3391.0,RUB,,,,,,,,,,,,,,
9x18mm PM PS gs PPO,,,,32.0,RUB,,,,,,,,,,,,,,
"PP-9 ""Klin"" 9x18PMM submachine gun",,,,23427.0,RUB,,,,,,,,,,,,,,
7.62x25mm TT PT gzh,,,,69.0,RUB,,,,,,,,,,,,,,
AS VAL pistol grip,6969.0,,12125.0,1628.0,RUB,,,,,,,,,,,,,,
AS VAL 9x39 special assault rifle,,,,144499.0,RUB,,,,,,,,,,,,,,
F-1 hand grenade,,,,9156.0,RUB,,,,,,,,,,,,,,
AK-74 5.45x39 6L20 30-round magazine,5000.0,,4885.0,2214.0,RUB,,,,,,,,,,,,,,
TT 7.62x25 121mm homespun threaded barrel,2500.0,,2500.0,2343.0,RUB,,,,,2472.0,RUB,,,,,,,,
PSO scope eyecup,9000.0,,,301.0,RUB,,,,,,,,,,,,,,
"PP-19-01 ""Vityaz"" 9x19 submachine gun",,,,21514.0,RUB,,,,,,,,,,,,,,
7.62x54mm R LPS gzh,,,,319.0,RUB,,,,,,,,,,,,,,
"PP-91-01 ""Kedr-B"" 9x18PM submachine gun",,,,36154.0,RUB,,,,,,,,,,,,,,
